QBarcode,Sex,DOBYear,Age,Country,Ethn,Ethn1,Ethn2,Ethn3,Ethn4,Ethn5,EthnO,EthnOth,EthnDK,Race1,Race2,Race3,Race4,Race5,RaceO,RaceDK,RaceOth,Litho1,Educ,Marital,InsTyp1,InsTyp2,InsTyp3,InsTyp4,InsTypNo,InsTypO,InsTypDK,InsurOth,HHInc,NumSuprt,Litho2,Educ2,Multiracial
1820,2,1920,85,JAMAICA,1,99,99,99,1,99,99,,0,0,0,0,0,0,88,0,,824,2,3,,,1.0,,,,,,2,0,824,2,0
1821,2,1957,48,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,0,1,0,0,0,0,0,,825,3,6,1.0,,,,,,,,2,5,825,3,0
1823,1,1939,66,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203318,5,1,,,1.0,,,,,,5,2,203318,3,0
1824,2,1929,75,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,829,5,3,,1.0,1.0,,,,,,3,1,829,3,0
1825,2,1942,63,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,828,3,1,,,1.0,,,,,,4,2,828,3,0
1829,1,1945,59,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203079,5,1,,,1.0,,,,,,4,2,203079,3,0
1832,1,1928,76,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203153,4,3,,,1.0,,,,,,6,1,203153,3,0
1834,1,1943,61,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203151,3,1,,,1.0,,,,,,4,2,203151,3,0
1840,1,1942,63,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,201678,2,1,,,1.0,,,,,,4,1,201678,2,0
1846,1,1915,89,ITALY,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203050,1,1,,1.0,,,,,,,3,2,203050,1,0
1849,1,1938,67,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,0,1,0,0,0,0,0,,203047,5,1,,1.0,,,,,,,3,2,203047,3,0
1850,1,1952,53,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203046,4,5,,,1.0,,,,,,3,3,203046,3,0
1856,2,1967,38,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,822,2,1,,,1.0,,,,,,3,2,822,2,0
1861,2,1930,75,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,801,2,3,,,1.0,,,,,,3,1,801,2,0
1864,1,1960,45,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203133,4,1,,,1.0,,,,,,4,5,203133,3,0
1866,2,1933,71,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,798,2,1,,1.0,,,,,,,4,2,798,2,0
